uid,score,timePlaying,totalPoints,highscore,numberOfPlays,date,gameMode
"1423252868772",16,538,313,202,24,"Tue Feb 10 2015 21:18:35 GMT+0000 (UTC)","normal"
"1423252868772",50,577,363,202,25,"Tue Feb 10 2015 21:19:16 GMT+0000 (UTC)","normal"
"1423439534924",35,40,36,35,5,"Wed Feb 11 2015 02:26:25 GMT+0000 (UTC)","normal"
"1423622559471",80,3960,96,172,94,"Wed Feb 11 2015 02:44:26 GMT+0000 (UTC)","blacktheme"
"1423495987770",0,23,17,6,10,"Wed Feb 11 2015 14:22:18 GMT+0000 (UTC)","normal"
"1423495987770",0,26,17,6,11,"Wed Feb 11 2015 14:31:15 GMT+0000 (UTC)","normal"
"1423495987770",0,29,17,6,12,"Wed Feb 11 2015 14:32:37 GMT+0000 (UTC)","normal"
"1423495987770",0,32,17,6,13,"Wed Feb 11 2015 14:34:10 GMT+0000 (UTC)","normal"
"1423495987770",6,43,23,6,14,"Wed Feb 11 2015 14:47:02 GMT+0000 (UTC)","normal"
"1423495987770",6,52,29,6,15,"Wed Feb 11 2015 14:48:07 GMT+0000 (UTC)","normal"
"1423495987770",7,61,36,7,16,"Wed Feb 11 2015 14:48:44 GMT+0000 (UTC)","normal"
"1423495987770",0,62,36,7,17,"Wed Feb 11 2015 14:48:47 GMT+0000 (UTC)","normal"
"1423495987770",6,69,42,7,18,"Wed Feb 11 2015 14:48:57 GMT+0000 (UTC)","normal"
"1423495987770",6,79,48,7,19,"Wed Feb 11 2015 14:50:21 GMT+0000 (UTC)","normal"
"1423252868772",7,583,370,202,26,"Wed Feb 11 2015 15:17:16 GMT+0000 (UTC)","normal"
"1423252868772",3,585,373,202,27,"Wed Feb 11 2015 15:17:18 GMT+0000 (UTC)","normal"
"1423252868772",7,591,380,202,28,"Wed Feb 11 2015 15:17:27 GMT+0000 (UTC)","normal"
"1423495987770",1,81,49,7,20,"Wed Feb 11 2015 15:23:22 GMT+0000 (UTC)","normal"
"1423495987770",0,82,49,7,21,"Wed Feb 11 2015 15:29:43 GMT+0000 (UTC)","normal"
"1423495987770",10,94,59,10,22,"Wed Feb 11 2015 15:30:13 GMT+0000 (UTC)","normal"
"1423495987770",3,97,62,10,23,"Wed Feb 11 2015 15:30:21 GMT+0000 (UTC)","normal"
"1423495987770",0,104,62,10,24,"Wed Feb 11 2015 15:30:33 GMT+0000 (UTC)","normal"
"1423495987770",0,104,62,10,25,"Wed Feb 11 2015 15:30:47 GMT+0000 (UTC)","normal"
"1423495987770",1,106,63,10,26,"Wed Feb 11 2015 15:31:56 GMT+0000 (UTC)","normal"
"1423495987770",0,107,63,10,27,"Wed Feb 11 2015 15:33:55 GMT+0000 (UTC)","normal"
"1423252868772",13,602,393,202,29,"Wed Feb 11 2015 15:59:00 GMT+0000 (UTC)","normal"
"1423252868772",25,628,418,202,30,"Wed Feb 11 2015 16:15:02 GMT+0000 (UTC)","normal"
"1423252868772",2,630,420,202,31,"Wed Feb 11 2015 16:15:13 GMT+0000 (UTC)","normal"
"1423252868772",3,633,423,202,32,"Wed Feb 11 2015 16:15:17 GMT+0000 (UTC)","normal"
"1423252868772",75,695,498,202,33,"Wed Feb 11 2015 17:23:41 GMT+0000 (UTC)","normal"
"1423252868772",3,698,501,202,34,"Wed Feb 11 2015 17:23:52 GMT+0000 (UTC)","normal"
"1423495987770",5,114,68,10,28,"Wed Feb 11 2015 19:53:28 GMT+0000 (UTC)","normal"
"1423495987770",0,115,68,10,29,"Wed Feb 11 2015 19:53:38 GMT+0000 (UTC)","normal"
"1423252868772",33,726,534,202,35,"Wed Feb 11 2015 20:26:01 GMT+0000 (UTC)","normal"
"1423252868772",146,816,547,202,35,"Wed Feb 11 2015 20:27:33 GMT+0000 (UTC)","normal"
"1423252868772",230,885,431,230,35,"Wed Feb 11 2015 20:29:02 GMT+0000 (UTC)","normal"
"1423252868772",3,888,434,230,36,"Wed Feb 11 2015 20:30:11 GMT+0000 (UTC)","normal"
"1423252868772",3,891,437,230,37,"Wed Feb 11 2015 20:30:27 GMT+0000 (UTC)","normal"
"1423252868772",5,895,442,230,38,"Wed Feb 11 2015 20:31:04 GMT+0000 (UTC)","normal"
"1423252868772",86,968,528,230,39,"Wed Feb 11 2015 20:32:36 GMT+0000 (UTC)","normal"
"1423252868772",10,976,38,230,40,"Wed Feb 11 2015 20:33:16 GMT+0000 (UTC)","blacktheme"
"1423252868772",54,1018,92,230,41,"Wed Feb 11 2015 20:34:00 GMT+0000 (UTC)","blacktheme"
"1423252868772",3,1020,95,230,42,"Wed Feb 11 2015 20:34:36 GMT+0000 (UTC)","normal"
"1423333719826",57,181,75,105,5,"Wed Feb 11 2015 21:55:28 GMT+0000 (UTC)","normal"
"1423252868772",10,1030,105,230,43,"Wed Feb 11 2015 22:23:37 GMT+0000 (UTC)","normal"
"1423252868772",29,1055,134,230,44,"Wed Feb 11 2015 22:23:39 GMT+0000 (UTC)","normal"
"1423333719826",0,182,75,105,6,"Wed Feb 11 2015 23:15:23 GMT+0000 (UTC)","normal"
"1423333719826",52,230,127,105,7,"Wed Feb 11 2015 23:16:38 GMT+0000 (UTC)","normal"
"1423696797788",1,563,444,153,22,"Wed Feb 11 2015 23:20:19 GMT+0000 (UTC)","normal"
"1423696797788",0,566,444,153,23,"Wed Feb 11 2015 23:20:35 GMT+0000 (UTC)","normal"
"1423696797788",84,661,528,153,24,"Wed Feb 11 2015 23:22:28 GMT+0000 (UTC)","normal"
"1423696797788",85,662,529,153,24,"Wed Feb 11 2015 23:22:29 GMT+0000 (UTC)","normal"
"1423333719826",123,355,250,123,8,"Wed Feb 11 2015 23:22:33 GMT+0000 (UTC)","normal"
"1423333719826",123,355,250,123,8,"Wed Feb 11 2015 23:22:33 GMT+0000 (UTC)","normal"
"1423696797788",112,693,456,153,24,"Wed Feb 11 2015 23:23:05 GMT+0000 (UTC)","normal"
"1423696797788",113,694,457,153,24,"Wed Feb 11 2015 23:23:06 GMT+0000 (UTC)","normal"
"1423696797788",177,886,634,177,25,"Wed Feb 11 2015 23:28:38 GMT+0000 (UTC)","normal"
"1423696797788",178,887,635,178,25,"Wed Feb 11 2015 23:28:39 GMT+0000 (UTC)","normal"
"1423696797788",292,1008,649,292,25,"Wed Feb 11 2015 23:30:55 GMT+0000 (UTC)","normal"
"1423696797788",293,1009,650,293,25,"Wed Feb 11 2015 23:30:56 GMT+0000 (UTC)","normal"
"1423333719826",54,404,304,123,9,"Wed Feb 11 2015 23:33:29 GMT+0000 (UTC)","normal"
"1423333719826",120,510,424,123,10,"Wed Feb 11 2015 23:35:26 GMT+0000 (UTC)","normal"
"1423333719826",3,513,427,123,11,"Wed Feb 11 2015 23:36:21 GMT+0000 (UTC)","normal"
"1423333719826",70,575,497,123,12,"Wed Feb 11 2015 23:37:24 GMT+0000 (UTC)","normal"
"1423333719826",105,605,432,123,12,"Wed Feb 11 2015 23:37:58 GMT+0000 (UTC)","normal"
"1423333719826",108,608,235,123,12,"Wed Feb 11 2015 23:38:03 GMT+0000 (UTC)","normal"
"1423333719826",30,632,265,123,13,"Wed Feb 11 2015 23:38:41 GMT+0000 (UTC)","normal"
"1423333719826",77,671,212,123,13,"Wed Feb 11 2015 23:39:24 GMT+0000 (UTC)","normal"
"1423333719826",87,679,22,123,13,"Wed Feb 11 2015 23:39:33 GMT+0000 (UTC)","normal"
"1423333719826",2,681,24,123,14,"Wed Feb 11 2015 23:39:37 GMT+0000 (UTC)","normal"
"1423333719826",46,720,70,123,15,"Wed Feb 11 2015 23:40:35 GMT+0000 (UTC)","normal"
"1423333719826",20,737,90,123,16,"Wed Feb 11 2015 23:40:53 GMT+0000 (UTC)","normal"
"1423333719826",0,737,90,123,17,"Wed Feb 11 2015 23:40:55 GMT+0000 (UTC)","normal"
"1423333719826",7,743,97,123,18,"Wed Feb 11 2015 23:41:26 GMT+0000 (UTC)","normal"
"1423333719826",24,771,121,123,19,"Wed Feb 11 2015 23:41:55 GMT+0000 (UTC)","normal"
"1423333719826",23,790,144,123,20,"Wed Feb 11 2015 23:42:18 GMT+0000 (UTC)","normal"
"1423333719826",5,794,149,123,21,"Wed Feb 11 2015 23:42:24 GMT+0000 (UTC)","normal"
"1423333719826",8,801,157,123,22,"Wed Feb 11 2015 23:42:33 GMT+0000 (UTC)","normal"
"1423333719826",12,814,169,123,23,"Wed Feb 11 2015 23:42:49 GMT+0000 (UTC)","normal"
"1423333719826",0,815,169,123,24,"Wed Feb 11 2015 23:42:52 GMT+0000 (UTC)","normal"
"1423333719826",2,816,171,123,25,"Wed Feb 11 2015 23:42:55 GMT+0000 (UTC)","normal"
"1423333719826",2,817,173,123,26,"Wed Feb 11 2015 23:43:00 GMT+0000 (UTC)","normal"
"1423333719826",3,819,176,123,27,"Wed Feb 11 2015 23:43:04 GMT+0000 (UTC)","normal"
"1423331323307",43,561,484,141,19,"Thu Feb 12 2015 00:22:53 GMT+0000 (UTC)","normal"
"1423331323307",72,588,413,141,19,"Thu Feb 12 2015 00:23:22 GMT+0000 (UTC)","normal"
